MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
18.3,98.59,68.64,11,95,65,0,93,65,20.81,41.75,35.8,79.1,35.56,76,64,157.37,84.39,38.66,8.62,15.66,16.37,159.06,87.5,37.25,160,100,36.47,7.14,5.06,7.33,7.13,N
40.94,60.41,94.8,42,59,95,43,62,100,6.45,17.25,15.31,67.75,9.12,68,73,219.67,56.92,37.9,10.64,6.21,6.92,220.47,56.04,37.65,220,50,39.22,5.24,4.56,5.17,5.78,H
39.7,91.18,59.31,30,87,56,0,122,88,33.33,41.97,33.83,73.99,33.35,72,94,133.39,62.82,36.11,32.53,21.24,16.55,145.26,62.16,34.51,42,100,49.02,7.01,6.53,7.2,6.98,N
172.72,172.62,159.36,183,180,165,221,218,154,44.44,39.84,37.41,169.05,37.51,176,214,75.54,10.67,69.79,70.92,11.03,15.4,49.41,8.2,72.94,49.41,7.69,86.67,7.11,7.23,7.19,7.06,H
31.42,118.56,213.95,31,114,95,32,76,255,8.31,32.8,33.93,136.8,26.16,8,138,211.84,85.17,84.7,10.73,4.35,11.1,213.86,85.64,87.45,220,83.33,100,6.7,4.95,6.88,6.62,I
24.16,40.58,32.8,23,36,31,20,28,28,9.31,23.8,9.35,34.95,10.4,33,26,161.58,37.24,15.95,14.97,12.6,9.31,162.86,34.38,14.12,180,33.33,10.98,5.19,5.08,5.48,5.02,N
33.43,73.9,55.73,31,67,52,0,51,47,21.5,38.05,27.46,61.87,27.69,58,54,155.35,54.9,29.01,18,20.75,14.9,157.89,51.85,26.27,160,100,20,6.74,6.26,6.96,6.73,N
25.3,59.83,162.71,26,55,164,25,46,143,8.15,31.36,40.68,85.23,16.32,86,87,224.86,83.81,65.75,17.39,6.93,13.98,228.4,84.3,65.88,217.14,98.74,56.08,6.06,5.01,6.05,7.12,I
13.87,59.4,52.98,11,53,49,0,65,55,13.95,37.33,29.5,50.3,27.18,47,38,175.96,76.92,23.61,14.81,20.55,14.65,176.67,78.83,21.18,180,100,25.49,6.71,4.97,6.91,6.81,N
2.36,111.28,246.66,2,101,125,0,93,255,2.63,31.06,30.08,139.64,15.91,7,131,212.7,99.06,98.04,12.67,1.04,4.43,216.33,99.21,99.22,218.01,100,100,5.82,2.92,6.55,3.46,I
34.48,49.99,67.18,32,44,64,28,41,63,14.26,29.95,25.24,50.66,14.58,48,43,217.1,48.46,28.39,34.07,17.81,12.92,219.71,47.76,25.88,210,50,24.71,5.79,5.53,5.7,6.52,N
226.85,232.66,216.24,231,233,220,236,232,221,26.33,4.29,24.68,228.59,3.24,229,229,73.3,7.59,91.84,28.16,10.64,1.82,60,5.56,91.76,49.41,5.56,91.76,3.66,4.72,3.82,4.03,H
50.99,49.76,62.76,52,45,59,50,46,59,7.17,25.14,19.74,52.31,10.19,50,46,274.02,28.94,26.66,42.61,13.6,10.75,268.24,25,23.53,307.5,20,19.61,5.26,4.2,4.97,6.12,H
14.13,27.1,40.58,14,22,37,14,21,36,2.43,27.46,11.8,27.58,5.01,26,25,217.88,64.64,17.61,16.11,8.19,10.51,220.91,61.11,14.9,220.91,61.11,14.12,3.35,2.79,3.35,4.17,H
231.23,222.35,196.45,234,224,200,236,224,200,18.85,7.92,18.44,216.11,7.76,218,218,42.66,15.75,91.45,9.26,7.34,1.93,42,15.04,91.76,40,14.53,92.55,4.81,4.15,4.78,5.27,H
171.56,178.4,195.35,177,177,201,173,174,207,30.86,18.97,28.57,184.62,11.49,183,175,238.5,15.3,78.94,25.41,14.37,4.58,246,9.9,79.22,251.25,35.23,81.18,5.45,6.15,5.92,5.27,H
122.55,128.86,119.63,122,127,122,107,121,112,39.54,35.35,30.07,124.6,29.79,124,120,107.4,11.03,52.09,89.14,15.3,13.97,75,7.34,50.2,0,0,47.45,6.88,7.22,7.03,6.73,H
46.59,66.36,30.14,44,59,27,42,53,21,14.12,32.72,16.89,51.18,18.48,48,42,87.1,55.26,26.21,18.78,14.84,12.64,89.03,53.33,23.14,80,50,20.78,6.11,5.48,6.41,5.98,N
10.57,63.72,136.45,6,53,5,0,52,111,12.94,46.07,63.79,77.7,42.89,70,36,217.69,90.95,54.84,15.48,11.67,24.65,219.38,95.73,53.73,240,100,43.53,7.29,4.42,7.25,7.85,I
38.53,112.09,89.56,35,113,89,0,125,81,28.16,43.16,39.96,96.43,38.09,97,110,160.53,67.49,44.02,13.6,18.66,16.91,161.86,66.99,44.31,160,100,49.02,7.26,6.52,7.42,7.32,N
133.7,149.85,167.14,131,146,166,131,146,161,27.29,20.58,19.15,153.4,17.38,150,151,222.99,21.06,66.33,30.48,13.99,6.25,216.82,20.88,65.49,220,22.67,62.75,5.93,6.61,6.09,5.82,H
83.36,89.6,94.66,89,94,103,97,101,142,27.68,35.71,36.91,88.93,30.3,96,104,237.54,18.56,39.94,69.65,13.74,15.04,229.09,16.36,41.96,343.64,20,55.69,6.75,6.53,6.76,7,H
119.43,145.61,166.49,123,21,44,130,153,181,22.13,22.83,23.29,149,21,25,161,207.93,29.21,65.94,8.6,6.64,8.31,208.8,28.74,67.45,208.8,33.33,70.98,6.29,6.33,6.37,6.24,H
17.39,74.85,186.46,17,69,63,15,50,223,7.56,31.53,36.22,100.67,23.29,99,77,219.71,91.04,74.44,13.06,3.08,11.76,222.31,90.96,75.69,224.9,90.91,87.45,6.43,4.94,6.49,6.67,I
12.35,81.02,170.61,9,61,32.5,0,88,255,11.14,49.54,63.3,100.42,44.66,87,62,216.14,91.29,68.12,13.7,10.13,24.06,220.12,94.54,66.07,216.12,100,100,7.03,5.04,6.96,7.27,I
26.38,43.12,53.55,21,30,41,19,26,34,12.61,31.84,27.13,42.33,20.57,32,27,211.33,50.69,22.77,15.52,9.54,13.75,213.75,49.15,16.08,213.75,47.06,13.33,5.21,4.77,5.24,5.69,H
81.75,197.35,250.51,71,75,126,62,185,254,36.3,32.86,20.17,200.08,22.53,74,210,198.07,67.54,98.92,11.79,14.5,2.6,196.56,71.65,99.61,204.62,75.2,99.61,6.5,6.71,6.94,2.33,I
116.57,122.86,118.04,119,123,123,119,127,130,17.48,20.77,21.52,120.27,15.33,122,127,131.76,8.02,49.03,73.76,12.42,7.54,168,5,49.02,196.36,0,50.98,5.62,5.63,5.74,5.82,H
57.46,70.42,50.83,58,65,48,62,61,47,11.51,28.71,22.41,61.69,15.83,59,57,93.84,33.69,29.45,63.98,12.85,12.02,86.09,31.33,26.67,60,33.33,25.49,5.88,5.32,6.2,5.82,N
18.68,86.79,68.51,10,80,61,0,20,11,22.9,54.04,48.96,72.3,47.34,66,14,161.45,81.6,34.04,13.07,17.17,21.19,164.04,84.18,31.37,150,100,7.84,7.37,5.26,7.57,7.39,N
16.07,64.94,48.03,6,59,40,0,5,3,21.79,47.93,39.17,53.03,39.9,46,4,157.07,78.6,25.48,15.92,21.01,18.79,160,82.26,23.14,156,100,1.96,7.04,4.98,7.28,6.94,N
201.97,177.67,114.59,209,182,116,211,190,105,27.21,19.68,22.9,161.54,17.98,165,174,42.17,44.41,80.6,10.4,8.59,6.44,41.05,44.09,81.96,41.05,50,82.75,6.05,5.93,5.98,6.36,H
122.45,124.42,124.12,127,124,128,137,134,132,21.46,22.48,19.82,123.63,11.44,126,137,265.99,9.13,51.79,79.8,14.21,7.96,280,5.43,51.37,260,3.65,53.73,5.32,5.7,5.57,5.21,H
5.12,130.74,240.24,4,3,120,0,92,255,5.37,39.24,29.65,149.77,24.41,24,158,207.71,97.94,95.5,13.22,2.13,5.23,208.985,98.4,97.25,215.83,100,100,6.57,3.8,7.2,4.93,I
67.22,124.32,206.58,66,128,227,55,124,255,22.78,35.22,56.22,142,35.25,151,169,217.04,65.39,82.31,14.53,16.15,20.09,219.05,69.02,89.8,225,75,100,7,6.49,7.06,6.71,I
2.32,65.95,175.3,0,27,25,0,16,255,4.03,63.35,60.77,88.6,50.46,61,49,220.73,98.76,70.83,20.07,1.96,21.87,230.2,100,61.57,233.43,100,100,6.71,2.68,6.83,6.41,I
51.45,49.16,54.39,43,37,51,38,30,46,18.07,29.65,18.72,49.33,17.13,41,36,283.79,22.4,23.48,58.73,15.17,11.24,288,19.05,20.78,334.29,20,14.51,5.6,5.59,5.61,6.04,H
36.62,84.32,154.65,37,72,19,35,64,254,14.03,40.14,71.54,99.1,39.8,87,64,215.92,69.37,61.98,16.54,20.29,27.57,217.61,76.545,60,210,66.67,99.61,7.06,5.83,7.03,7.27,I
20.66,78.58,198.76,21,75,81,21,52,255,4.58,29.04,48.07,106.99,21.61,110,72,220.26,89.27,79.66,14.23,3.56,16.14,222.99,89.77,83.14,223.18,87.67,100,6.26,4.03,6.08,6.89,I
40.15,94.12,75.89,36,88,72,0,61,69,26.95,48.15,39.81,80.03,39.51,74,54,164.63,58.39,37.29,18.66,18.11,18.6,163.88,55.7,34.9,150,100,23.92,7.24,6.58,7.44,7.27,N
35.75,48.34,73.96,36,46,73,37,44,69,6.65,17.59,11.29,53.81,7.09,53,50,222.36,52.09,29.74,11.62,7.15,6.55,223.08,51.95,28.63,225,50,27.06,4.84,4.69,4.83,5.32,H
5.14,56.36,144.83,2,50,12,0,0,152,6.74,43.61,56.26,72.63,37.67,68,55,220.07,96.82,58.74,18.04,4.17,21.08,221.25,98.685,56.47,240,100,59.61,7.1,3.56,6.94,7.57,I
123,176.01,225.45,123,47,100,119,176,255,32.19,29.24,32.89,185.53,24.44,57,186,209.07,46.69,89.94,12.77,11.65,7.72,211.22,45.58,89.8,210.64,50,100,6.49,6.82,6.72,5.92,H
77.54,82.29,84.23,79,79,83,83,86,64,16.22,25.63,19.15,81.25,15.32,80,64,228.66,14.38,35.47,95.81,13.99,9.76,228,10.53,34.12,0,0,33.73,5.84,5.84,6,6,H
145.38,169.03,177.65,21,38,54,151,163,181,24.28,16.32,29.49,169.91,10.18,40,167,205.81,20.62,72.52,18.23,13.22,5.98,210.7,17.84,71.76,210,24.32,70.98,5.28,5.52,5.38,5.69,H
27.38,74.89,23.38,28,71,23,29,69,27,11.27,29.98,13.1,51.43,13.49,51,52,114.14,70.47,29.37,8.96,11.84,11.76,114.29,68.25,27.84,120,100,27.06,5.74,5.41,6.07,5.57,N
108.22,122.81,152.34,110,121,155,111,120,156,11.23,13.67,18.5,129.62,6.43,129,129,222.31,29.54,60.81,13.22,8.22,5.73,224.52,29.49,61.18,225,33.33,61.18,4.7,4.26,4.36,5.54,H
45.02,92.84,104.23,41,98,111,0,46,144,31.77,49.68,48.61,89.65,45.4,95,121,196.1,62.53,42.36,14.4,15.54,19.4,194.46,60.49,44.71,210,100,54.12,7.35,6.78,7.45,7.47,N
21.72,69.48,57.8,20,62,51,0,42,37,16,35.95,31.82,59.39,28.62,54,35,162.55,66.96,27.4,22.03,21.25,14.1,166.96,65.82,24.31,150,100,15.69,6.71,5.64,6.89,6.85,N
34.3,94.47,60.87,20,84,49,0,0,0,41.68,62.26,51.57,77.18,55.43,67,0,140.15,70.79,37.08,27.25,23.35,24.39,143.79,71.72,32.94,120,100,30.98,7.56,6.31,7.78,7.22,N
46.62,117.52,92.07,45,117,94,0,122,83,26.54,36.68,32.9,100.89,30.34,102,107,160.31,62.05,46.09,7.47,16.15,14.38,162,59.705,45.88,162.19,100,47.84,6.94,6.64,7.07,7.02,N
93.88,118.43,140.65,98,124,22,109,135,159,20.69,25.53,26.66,122.19,23.37,1,139,210.11,34.06,55.79,8.79,6.06,10.23,210,33.12,58.82,210,33.33,62.35,6.3,6.16,6.37,6.4,H
27.97,82.79,50.72,25,75,47,0,90,55,20.82,42.04,31.67,65.15,32.64,60,45,140.32,66.39,32.47,17.51,20.35,16.48,144.38,65.59,29.41,118.29,100,35.29,6.95,6.04,7.17,6.86,N
115.38,106.28,80.36,116,102,79,121,93,78,19.73,24.86,33.37,98.84,21.97,96,92,60.41,34.57,47.26,61.26,21.23,8.7,39.61,30.48,46.27,40,50,47.45,6.44,6.09,6.34,7.08,N
41.83,109.96,106.85,38,107,106,0,100,107,30.2,39.08,41.7,100.36,34.61,99,104,179.78,67.81,46.19,16.21,17.26,15.94,182.25,65.96,45.1,180,100,47.06,7.13,6.63,7.19,7.38,N
107.04,158.02,228.4,108,32,110,50,152,254,44.71,27.35,30.77,173.05,21.41,45,164,215.98,51.77,90.12,10.23,22.6,10.31,217.64,53.235,93.73,220,80.31,99.61,6.4,7.26,6.73,5.67,I
97.75,110.06,110.75,97,105,112,95,101,110,16.96,22.16,16.95,107.69,7.04,106,102,200.8,14.76,46.07,43.79,14.5,8,213.33,12.73,43.92,212.31,12.04,43.14,4.61,5.12,4.91,4.56,H
46.35,111.29,215.65,44,109,226,40,107,255,22.04,32.94,41.75,134.76,27.13,136,148,216.91,78.68,86.01,13.55,10.03,12.94,218.88,80.25,89.41,220,80,100,6.79,6.41,6.92,6.49,I
155.36,162.08,166.67,158,160,170,158,159,169,22.49,15.27,24.04,163.31,8.18,163,162,231.94,9.32,67.69,23.42,12.97,5.4,234.55,6.59,67.06,234.55,6.51,66.27,4.98,5.12,5.15,5.2,H
126.37,138.67,147.01,125,4,17,118,118,125,21.59,25.68,27.87,139.51,21.18,7,119,220.47,15.57,59.48,23.39,11.5,10,219.31,15.03,57.65,240,16.67,49.02,6.11,5.89,6.2,6.36,H
38.49,88.22,96.68,32,90,100,0,25,33,28.7,48.45,46.26,83.79,42.96,85,24,192.32,65.21,39.53,14.13,15.2,18.83,190,63.3,40.39,188.33,100,11.76,7.25,6.59,7.37,7.41,N
7.03,59.07,152.15,4,50,41,0,20,193,8.26,37.3,64.36,80.18,37.28,79,25,222.7,89.73,60.28,14.37,18.45,24.94,222.68,97.86,66.67,240,100,75.69,7.11,4.02,6.91,7.71,I
56.22,136.52,202.21,52,13,90,0,96,255,39.82,60.71,51.86,146.82,51.59,25,173,207.68,74.18,80.39,16.6,15.94,18.79,207.155,74.58,85.88,216.54,100,100,7.63,7.09,7.85,7.08,I
25.53,39.86,38.7,22,33,31,19,29,29,20.87,32.91,35.66,36.12,25.37,31,29,174.17,34.78,17.35,35.63,18.49,16.64,172.5,32,12.94,180,33.33,11.37,5.97,5.6,6.07,6.09,N
23.64,37.88,49,24,36,51,28,40,64,8.96,28.19,15.2,37.41,11.45,39,46,214.57,53.66,20.99,16.51,10.27,10.75,218.82,52.38,20.78,218.82,50,25.1,5.37,5.15,5.53,5.74,H
44.15,109.17,85.59,38,108,84,0,103,0,34.55,50.26,45.73,93.91,44.63,92,90,157.12,62.85,42.98,19.25,20.79,19.66,159.38,61.61,42.35,150,100,40.39,7.48,6.76,7.64,7.47,N
108.79,112.98,111.9,105,112,114,73,56,83,43.81,50.61,57.23,111.15,51.05,111,54,138.98,17.36,47.37,90.96,15.39,19.74,207.27,11.85,46.27,210,0,31.76,7.47,7.32,7.47,7.62,H
18,56.92,29.73,8,48,22,0,49,0,27.83,42.55,31.02,42.98,34.89,35,11,131.96,77.6,22.34,20.85,21.98,16.68,133.71,82.5,18.82,120,100,19.22,6.8,5.27,7.11,6.21,N
9.31,44.01,37.12,7,38,33,0,51,43,9.85,34.04,22.72,35.61,21.19,32,25,174.49,78.09,17.49,23.51,21.41,13.32,174.19,81.43,14.9,180,100,20,6.32,4.44,6.56,6.4,N
47.75,169.54,248.28,47,40,125,45,147,255,14.81,20.09,25.54,179.71,11.12,51,182,203.68,80.93,98.39,10.61,6.05,3.04,204.53,81.42,99.22,212.66,84.31,100,5.48,5.83,6.17,3.37,I
69.81,131.47,184.79,70,2,58,66,128,185,21.11,23.98,30,140.06,19.61,12,140,208.24,63.39,73.9,11.76,8.15,8.62,209.78,62.64,73.33,209.73,66.67,72.55,6.28,6.35,6.31,6.46,H
148.23,166.87,175.79,19,38,50.5,139,162,174,39.27,35.58,34.23,168.23,31.97,40,219,203.91,18.24,70.8,18.71,14.23,11.32,207,16.38,70.98,210,5.83,73.73,6.78,7,6.91,6.69,H
65.92,76.38,63.62,67,74,64,65,73,59,11.85,23.17,12.72,70.14,10.41,70,72,103.09,14.91,30.01,29.81,12.16,9.06,103.64,13.43,29.02,80,14.29,28.63,5.42,5.34,5.63,5.52,N
51.72,69.86,61.32,53,67,63,53,60,58,16.24,30.93,19.62,63,17.83,64,62,161.27,23.08,27.43,24.25,19.17,12.15,166.96,19.12,26.27,171.43,100,23.53,5.9,5.64,6.09,5.97,N
82.41,85.82,86.47,81,82,85,76,81,85,14.85,22.36,16.78,84.66,13.66,82,82,230.29,8.81,35.57,82.53,11.51,8.6,255,6.98,33.73,255,0,33.33,5.74,5.66,5.86,5.86,H
49.7,86.8,140.87,50,86,144,50,86,148,6.67,15.35,17.91,98.21,9.37,99,100,215.92,64.9,55.94,9.37,4.25,6.22,216.92,64.85,56.86,216.35,66.67,58.04,5.23,4.52,5.14,5.79,H
26.53,54.54,34.68,23,43,27,18,37,20,17.7,38.02,24.09,42.76,24.3,35,27,132.42,50.16,21.39,20.15,19.27,14.91,136.67,45.45,16.86,120,100,14.51,6.37,5.91,6.59,6.29,N
160.47,223.88,236.45,183,251,252,255,255,255,85.4,46.77,35.08,222.64,42.7,245,255,178.76,35.74,94.71,50.09,32.41,8.75,181.88,26.67,99.61,180,0.78,100,5.87,7.4,5.3,4.74,I
15.55,29.44,19.69,15,25,19,14,22,16,8.8,27.06,10.75,22.77,9.69,22,21,143.38,44.18,11.65,29.89,21.06,10.73,143.08,40.74,10.2,154.29,50,9.41,5.28,5.1,5.56,5.28,N
70.65,67.07,78.57,67,66,77,64,63,73,17.32,16.04,16.61,70.92,15.88,69,67,258.02,18.02,31.47,64.84,7.07,6.88,261.82,16.33,30.98,240,16.67,28.63,5.96,5.91,5.95,6.02,H
18.29,46.35,35.16,16,34,27,16,32,25,11.71,34.22,22.97,37.35,21.87,30,28,158.69,57.15,18.21,14.18,15.34,13.42,160,53.57,13.33,164,50,12.55,5.56,5.09,5.76,5.58,N
126.15,160.24,193.17,125,159,201,0,0,255,39.22,47.16,57.16,166.2,47.28,168,0,210.82,38.74,77.27,22.3,16.75,20.64,213.49,35.71,79.61,212.14,100,100,6.6,6.2,6.68,6.76,H
111.03,117.53,114.28,113,117,115,113,118,116,19.93,18.5,14.41,115.51,13.5,116,117,139.16,8.2,46.85,63.31,10.68,6.79,168,4.84,46.27,168,0,46.27,5.77,6.18,5.9,5.52,H
61.19,74.81,70.57,61,70,69,61,57,80,13.25,29.13,22.7,70.65,18.53,68,56,149.38,21.23,30.8,88.94,15.36,11.28,180,18.31,28.63,180,17.65,23.92,6.06,5.53,6.22,6.31,N
61.21,78,87.24,57,73,84,46,60,72,18.69,26.96,20.95,78.28,19.58,75,62,207.55,31.72,35.51,12.72,8.54,10.16,207.69,31.52,33.33,206.9,33.33,28.24,5.84,5.69,5.96,5.95,H
75.66,104.94,117.98,79,104,124,82,104,130,14.61,24.58,22.64,103.9,12.46,106,110,204.71,37.85,48.84,16.57,10.17,8.95,208.7,36.22,49.41,208.8,36.92,50.98,5.56,5.31,5.69,5.86,H
109.18,112.56,107.76,111,111,109,123,129,120,30.9,28.84,22.33,109.9,21.88,110,101,124.96,11.88,46.64,119.01,15.09,11.02,48,7.26,45.49,0,0,50.59,6.47,6.87,6.6,6.26,H
56.13,123.13,226.73,55,121,103,47,122,255,18.63,32.7,34.53,146.14,23.65,19,156,216.01,75.7,90.23,13.24,7.68,9.05,218.73,76.86,91.37,222.99,72.16,100,6.58,6.18,6.94,5.82,I
